student_id,date,food,study_materials,transport,entertainment,daily_supplies,total
STU_0001,2023-09-24,28,1,0,30,0,59
STU_0001,2023-09-25,23,1,0,5,0,29
STU_0001,2023-09-26,31,2,0,35,0,68
STU_0001,2023-09-27,33,2,0,30,0,65
STU_0001,2023-09-28,10,0,5,33,0,48
STU_0001,2023-09-29,17,6,0,14,0,37
STU_0001,2023-09-30,25,0,0,0,0,25
STU_0001,2023-10-01,36,6,15,15,0,72
STU_0001,2023-10-02,38,5,10,16,0,69
STU_0001,2023-10-03,30,1,0,31,0,62
STU_0001,2023-10-04,26,3,10,59,0,98
STU_0001,2023-10-05,29,24,0,31,0,84
STU_0001,2023-10-06,20,30,0,34,0,84
STU_0001,2023-10-07,36,7,5,11,0,59
STU_0001,2023-10-08,23,0,5,10,0,38
STU_0001,2023-10-09,38,17,5,23,0,83
STU_0001,2023-10-10,29,0,0,15,0,44
STU_0001,2023-10-11,21,32,0,32,5,90
STU_0001,2023-10-12,45,3,0,23,0,71
STU_0001,2023-10-13,33,1,0,23,0,57
STU_0001,2023-10-14,40,16,0,1,0,57
STU_0001,2023-10-15,37,2,0,17,0,56
STU_0001,2023-10-16,33,0,0,14,0,47
STU_0001,2023-10-17,38,32,0,40,0,110
STU_0001,2023-10-18,42,29,0,47,0,118
STU_0001,2023-10-19,34,6,5,58,0,103
STU_0001,2023-10-20,31,9,0,11,0,51
STU_0001,2023-10-21,13,5,0,27,0,45
STU_0001,2023-10-22,27,5,0,17,0,49
STU_0001,2023-10-23,21,6,0,1,100,128
STU_0001,2023-10-24,19,6,0,25,5,55
STU_0001,2023-10-25,40,2,0,31,0,73
STU_0001,2023-10-26,32,28,0,53,0,113
STU_0001,2023-10-27,28,20,0,23,50,121
STU_0001,2023-10-28,23,10,5,40,0,78
STU_0001,2023-10-29,43,3,0,18,0,64
STU_0001,2023-10-30,27,11,0,21,10,69
STU_0001,2023-10-31,30,6,5,16,0,57
STU_0001,2023-11-01,30,3,0,49,0,82
STU_0001,2023-11-02,38,8,0,54,0,100
STU_0001,2023-11-03,39,3,0,16,0,58
STU_0001,2023-11-04,34,13,0,16,0,63
STU_0001,2023-11-05,34,0,0,23,0,57
STU_0001,2023-11-06,32,2,5,29,0,68
STU_0001,2023-11-07,28,8,0,29,0,65
STU_0001,2023-11-08,23,23,5,47,0,98
STU_0001,2023-11-09,22,15,0,33,10,80
